variance,skewness,curtosis,entropy,class,result
-0.8940899999999999,3.1991,-1.8219,-2.9452,1.0,1.0
0.24261,0.57318,-1.9402,0.44006999999999996,1.0,1.0
1.3518,1.0595,-2.3437,0.39998,1.0,0.0
-3.9698,3.6812,-0.6000800000000001,-4.0133,1.0,1.0
0.40614,1.3492,-1.4501,-0.5594899999999999,1.0,0.0
-0.8734,-0.033118,-0.20165,0.55774,1.0,1.0
0.5393600000000001,3.8944,-4.8166,-4.3418,1.0,1.0
-1.2667,2.8183,-2.426,-1.8862,1.0,1.0
-1.6637,3.2881,-2.2701,-2.2224,1.0,1.0
-5.3857,9.1214,-0.41928999999999994,-5.9181,1.0,0.0
-2.0336,-1.4092,1.1582,0.36507,1.0,1.0
-3.5933,0.22968000000000002,0.7126,-0.3332,1.0,1.0
-5.4414,7.2363,0.10937999999999999,-7.5642,1.0,1.0
-0.3489,3.1929,-3.4054,-3.1832,1.0,1.0
-3.38,-0.7077,2.5325,0.71808,1.0,1.0
-0.9358700000000001,-5.1008,4.5367,1.3866,1.0,1.0
-1.7886,-6.3486,5.6154,0.42583999999999994,1.0,1.0
-2.6649,-12.812999999999999,12.6689,-1.9082,1.0,1.0
-0.24745,1.9368,-2.4697,-0.80518,1.0,1.0
-3.1128,-6.841,10.7402,-1.0172,1.0,1.0
-2.0662,0.16967000000000002,-1.0054,-0.82975,1.0,1.0
-2.3629,-0.10554000000000001,1.9336,1.1358,1.0,1.0
-1.8046,-6.8141,6.7019,1.1681,1.0,1.0
-2.7083,-6.8266,7.5339,0.59007,1.0,1.0
-1.8076,-8.8131,8.7086,-0.21681999999999998,1.0,1.0
-2.8391,-6.63,10.4849,-0.42113,1.0,1.0
-3.8483,-12.8047,15.6824,-1.281,1.0,1.0
-3.0265,-0.062088,0.68604,-0.055186,1.0,1.0
-2.0659,1.0512,-0.46298,-1.0974,1.0,1.0
-4.8392,6.6755,-0.24278000000000002,-6.5775,1.0,1.0
-2.3299,-9.9532,8.4756,-1.8733,1.0,1.0
-1.7582,2.7397,-2.5323,-2.234,1.0,1.0
-0.63298,-5.1277,4.5624,1.4797,1.0,1.0
-0.49081,2.8452,-3.6436,-3.1004,1.0,1.0
0.61652,3.8944,-4.7275,-4.3948,1.0,1.0
-2.2987,-5.227,5.63,0.91722,1.0,1.0
-2.1241,-6.8969,5.5992,-0.47156000000000003,1.0,1.0
-3.0986,-10.4602,8.9717,-2.3427,1.0,1.0
0.22432,-0.52147,-0.40386,1.2017,1.0,1.0
-1.6029,-0.38903000000000004,1.62,1.9103,1.0,1.0
-3.0193,1.7775,0.73745,-0.45346000000000003,1.0,1.0
-3.1366,0.42212,2.6225,-0.064238,1.0,1.0
-3.9594,4.0289,-0.35845,-3.8957,1.0,1.0
0.89512,4.7738,-4.8431,-5.5909,1.0,1.0
-1.0833,-0.31246999999999997,1.2815,0.41291000000000005,1.0,1.0
-4.1429,2.7749,0.68261,-0.7198399999999999,1.0,1.0
-2.4349,-9.2497,8.9922,-0.5000100000000001,1.0,1.0
-3.8858,-12.8461,12.7957,-3.1353,1.0,1.0
-1.682,-6.8121,7.1398,1.3323,1.0,1.0
-3.3458,-0.5049100000000001,2.6328,0.53705,1.0,1.0
-3.8167,5.1401,-0.65063,-5.4306,1.0,1.0
-2.4621,2.7645,-0.62578,-2.8573,1.0,1.0
-3.6053,-5.974,10.0916,-0.8284600000000001,1.0,1.0
-3.8552,3.5219,-0.38415,-3.8608,1.0,1.0
-1.6244,-6.3444,4.6575,0.16981,1.0,1.0
0.26877,4.987,-5.1508,-6.3913,1.0,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0,1.0
-2.5912,-0.10554000000000001,1.2798,1.0414,1.0,1.0
-2.41,3.7433,-0.40215,-1.2953,1.0,1.0
-1.5732,1.0636,-0.71232,-0.8388,1.0,1.0
-0.09219400000000001,0.39315,-0.32846,-0.13794,1.0,1.0
0.74428,-3.7723,1.6131,1.5754,1.0,0.0
-1.1005,-7.2508,6.0139,0.36895,1.0,1.0
-0.29858,2.4769,-2.9512,-0.66165,1.0,1.0
1.3403,4.1323,-4.7018,-2.5987,1.0,0.0
0.64376,3.764,-4.4738,-4.0483,1.0,1.0
-1.4233,-0.9891200000000001,2.3586,0.39481,1.0,1.0
-1.239,-6.541,4.8151,-0.033204000000000004,1.0,1.0
-2.2804,-0.30626,1.3347,1.3763,1.0,1.0
1.2279,4.0309,-4.6435,-3.9125,1.0,1.0
-0.8471,3.1329,-3.0112,-2.9388,1.0,1.0
0.9670799999999999,3.8426,-4.9314,-4.1323,1.0,1.0
0.5623199999999999,1.0015,-2.2726,-0.0060486,1.0,0.0
-5.1216,-5.3118,10.3846,-1.0612,1.0,1.0
-2.0042,-9.3676,9.3333,-0.10303,1.0,1.0
-6.651,6.7934,0.68604,-7.5887,1.0,1.0
-2.9498,-8.273,10.2646,1.1629,1.0,1.0
0.24394000000000002,1.4733,-1.4192,-0.58535,1.0,1.0
-0.87834,3.2569999999999997,-3.6778,-3.2944,1.0,1.0
-0.77688,0.13036,-0.031137,-0.35389,1.0,1.0
-1.8629,-0.84841,2.5377,0.097399,1.0,1.0
-3.8952,3.8157,-0.31304,-3.8194,1.0,1.0
-3.5916,-6.2285,10.2389,-1.1543,1.0,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0,1.0
-2.9146,4.0537,-0.45698999999999995,-4.0327,1.0,1.0
-1.786,-8.1157,7.0858,-1.2112,1.0,1.0
-0.46651000000000004,2.3383,-2.9812,-1.0431,1.0,1.0
-3.5060000000000002,-12.5667,15.1606,-0.75216,1.0,1.0
-4.2091,4.7283,-0.49126000000000003,-5.2159,1.0,1.0
-2.62,-6.8555,6.2169,-0.62285,1.0,1.0
-0.3481,-0.38695999999999997,-0.47841000000000006,0.62627,1.0,1.0
-0.82601,2.9611,-1.2864,-1.4647,1.0,1.0
-1.7263,-6.0237,5.2419,0.29524,1.0,1.0
-2.6406,-4.4159,5.983,-0.13924,1.0,1.0
0.062525,2.9301,-3.5467,-2.6737,1.0,1.0
-2.286,-5.4484,5.8039,0.88231,1.0,1.0
-1.4377,-1.432,2.1144,0.42067,1.0,1.0
-0.62043,0.5587,-0.38587,-0.66423,1.0,1.0
-1.8387,-6.301,5.6506,0.19567,1.0,1.0
-0.36372,3.0439,-3.4816,-2.7836,1.0,1.0
-0.7149399999999999,-4.4448,2.2241,0.49826000000000004,1.0,1.0
-1.5219999999999998,-6.6383,5.7491,-0.10690999999999999,1.0,1.0
-0.72068,-6.7583,5.8408,0.62369,1.0,1.0
-6.3679,8.0102,0.4247,-3.2207,1.0,0.0
0.11805999999999998,0.39108000000000004,-0.9822299999999999,0.42843000000000003,1.0,1.0
1.6799,4.2068,-4.5398,-2.3931,1.0,0.0
-2.5346,-0.7739199999999999,3.3602,0.0017100000000000001,1.0,1.0
-2.4554,-9.0407,8.862,-0.8698299999999999,1.0,1.0
-4.9447,3.3005,1.063,-1.444,1.0,1.0
-3.5801,-12.9309,13.1779,-2.5677,1.0,1.0
-0.77461,-1.8768,2.4023,1.1319,1.0,1.0
-3.3884,-8.215,10.3315,0.98187,1.0,1.0
1.1640000000000001,3.9130000000000003,-4.5544,-3.8672,1.0,1.0
-0.88728,2.8080000000000003,-3.1432,-1.2035,1.0,1.0
-1.0802,2.1996,-2.5862,-1.2759,1.0,1.0
-2.2501,3.3129,-0.88369,-2.8974,1.0,1.0
-0.21394000000000002,-0.68287,0.096532,1.1965,1.0,1.0
-4.0679,2.4955,0.79571,-1.1039,1.0,1.0
-0.28015,3.0729,-3.3857,-2.9155,1.0,1.0
0.6212,3.6771,-4.0771,-2.0711,1.0,0.0
-4.577,3.4515,0.66719,-0.94742,1.0,1.0
-4.0173,-8.3123,12.4547,-1.4375,1.0,1.0
0.77765,5.9781,1.1941,-0.3526,0.0,0.0
4.3239,-4.8835,3.4356,-0.5776,0.0,0.0
-2.6479,10.1374,-1.331,-5.4707,0.0,0.0
3.0864,-2.5845,2.2309,0.30946999999999997,0.0,0.0
4.8906,-3.3584,3.4202,1.0905,0.0,0.0
1.8592,3.2074,-0.15966,-0.26208000000000004,0.0,0.0
1.2138,8.7986,-2.1672,-0.74182,0.0,0.0
3.7818,-2.8846,2.2558,-0.15734,0.0,0.0
2.1274,5.1939,-1.7971,-1.1763,0.0,0.0
1.1811,8.3847,-2.0567,-0.90345,0.0,0.0
3.884,10.0277,-3.9298,-4.0819,0.0,0.0
-0.9592299999999999,0.091039,6.2204,-1.4828,0.0,0.0
3.5982,7.1307,-1.3035,0.21248000000000003,0.0,0.0
2.5331,2.9135,-0.8220000000000001,-0.12243,0.0,0.0
-1.3931,1.5664,7.5382,0.78403,0.0,0.0
5.807,5.0097,-2.2384,0.43878,0.0,0.0
3.4819999999999998,-4.1634,3.5008,-0.078462,0.0,0.0
1.8216,-6.4748,8.0514,-0.41855,0.0,0.0
3.9433,2.5017,1.5215,0.903,0.0,0.0
3.1060000000000003,9.5414,-4.2536,-4.003,0.0,0.0
1.1472,3.5985,1.9387,-0.43406000000000006,0.0,0.0
1.9105,8.871,-2.3386,-0.7560399999999999,0.0,0.0
3.2692,3.4184,0.20706,-0.066824,0.0,0.0
2.1265,6.8783,0.44783999999999996,-2.2224,0.0,0.0
3.245,6.63,-0.63435,0.8693700000000001,0.0,0.0
2.8237,2.8597,0.19677999999999998,0.57196,0.0,0.0
0.96414,5.6160000000000005,2.2138,-0.12500999999999998,0.0,0.0
4.8451,8.1116,-2.9512,-1.4724,0.0,0.0
3.4916,8.5709,-3.0326,-0.59182,0.0,0.0
1.2706,8.035,-0.19651,-2.1888,0.0,0.0
2.3678,-6.8389999999999995,8.4207,-0.44828999999999997,0.0,0.0
-0.38214000000000004,8.3909,2.1624,-3.7405,0.0,0.0
-0.27802,8.1881,-3.1338,-2.5276,0.0,0.0
-0.16108,-6.4624,8.3573,-1.5216,0.0,1.0
5.4021,3.1039,-1.1536,1.5651,0.0,0.0
1.0182,9.109,-0.62064,-1.7129,0.0,0.0
3.4092,5.4049,-2.5228,-0.8995799999999999,0.0,0.0
2.6213,5.7919,0.06568600000000001,-1.5759,0.0,0.0
3.583,-3.7971,3.4391,-0.12500999999999998,0.0,0.0
0.87603,6.8141,0.84198,-0.17156,0.0,0.0
3.4647,-3.9172,3.9746,0.36119,0.0,0.0
0.12326,8.9848,-0.9351,-2.4332,0.0,0.0
-0.16682,5.8974,0.49838999999999994,-0.70044,0.0,1.0
1.8384,6.063,0.54723,0.51248,0.0,0.0
1.3087,4.9228,2.0013,0.22024000000000002,0.0,0.0
3.9663,10.1684,-4.1131,-4.6056,0.0,0.0
4.5597,-2.4211,2.6413,1.6168,0.0,0.0
0.3292,-4.4552,4.5718,-0.9888,0.0,1.0
1.7819,6.9176,-1.2744,-1.5759,0.0,0.0
-1.3274,9.498,2.4408,-5.2689,0.0,0.0
3.8027,0.81529,2.1041,1.0245,0.0,0.0
3.1896,5.7526,-0.18537,-0.30086999999999997,0.0,0.0
-0.11996,6.8741,0.91995,-0.6694,0.0,1.0
3.9771,11.1513,-3.9272,-4.3444,0.0,0.0
2.5635,6.7769,-0.61979,0.38576,0.0,0.0
5.0297,-4.9704,3.5025,-0.23751,0.0,0.0
1.1315,7.9212,1.093,-2.8444,0.0,0.0
3.4246,-0.14693,0.80342,0.29136,0.0,0.0
0.8829799999999999,0.66009,6.0096,-0.43277,0.0,0.0
1.5691,6.3465,-0.1828,-2.4099,0.0,0.0
0.040498,8.5234,1.4461,-3.9306,0.0,0.0
-1.9458,11.2217,1.9079,-3.4405,0.0,0.0
2.3952,9.5083,-3.1783,-3.0086,0.0,0.0
5.2423,11.0272,-4.353,-4.1013,0.0,0.0
0.11739000000000001,6.2761,-1.5495,-2.4746,0.0,1.0
0.33111,4.5731,2.057,-0.18967,0.0,1.0
3.5288,0.71596,1.9507,1.9375,0.0,0.0
3.5912,3.0129,0.72888,0.56421,0.0,0.0
4.2478,7.6956,-2.7696,-1.0767,0.0,0.0
6.5633,9.8187,-4.4113,-3.2258,0.0,0.0
-1.1391,1.8127,6.9144,0.70127,0.0,0.0
4.0713,10.4023,-4.1722,-4.7582,0.0,0.0
1.6472,0.48213,4.7449,1.225,0.0,0.0
4.9342,2.4107,-0.17594,1.6245,0.0,0.0
2.4527,2.9653,0.20021,-0.056478999999999994,0.0,0.0
0.96788,7.1907,1.2798,-2.4565,0.0,0.0
4.1197,-2.7956,2.0707,0.6741199999999999,0.0,0.0
3.4465,2.9508,1.0271,0.5461,0.0,0.0
0.87256,9.2931,-0.7843,-2.1978,0.0,0.0
4.1349,6.1189,-2.4294,-0.19613,0.0,0.0
0.64295,7.1018,0.3493,-0.41336999999999996,0.0,0.0
0.44125,2.9487,4.3225,0.7155,0.0,0.0
3.5251,0.7201,1.6928,0.6443800000000001,0.0,0.0
2.6946,6.7976,-0.40301,0.44911999999999996,0.0,0.0
2.6415,7.586,-0.28562,-1.6677,0.0,0.0
0.52855,0.9642700000000001,4.0243,-1.0483,0.0,0.0
0.38251,6.8121,1.8128,-0.61251,0.0,0.0
2.2634,-4.4862,3.6558,-0.61251,0.0,0.0
1.8314,6.3672,-0.036278,0.049554,0.0,0.0
2.614,8.0081,-3.7258,-1.3069,0.0,0.0
-2.7914,1.7734,6.7756,-0.39915,0.0,0.0
3.5594,1.3078,1.291,1.6556,0.0,0.0
-0.36279,8.2895,-1.9213,-3.3332,0.0,0.0
1.9358,8.1654,-0.023425,-2.2586,0.0,0.0
1.5478,9.1814,-1.6326,-1.7375,0.0,0.0
3.6289,0.8132199999999999,1.6277,0.77627,0.0,0.0
4.6439,-3.3729,2.5976,0.55257,0.0,0.0
-1.1497,1.2954,7.7010000000000005,0.62627,0.0,0.0
4.9294,0.27726999999999996,0.20792,0.33662,0.0,0.0
-2.343,12.9516,3.3285,-5.9426,0.0,0.0
-1.9667,11.8052,-0.40471999999999997,-7.8719,0.0,0.0
2.8209,7.3108,-0.81857,-1.8784,0.0,0.0
5.2756,0.13863,0.12138,1.1435,0.0,0.0
4.6689,1.3098,0.055403999999999995,1.909,0.0,0.0
1.0284,9.767000000000001,-1.3687,-1.7853,0.0,0.0
2.8523,9.0096,-3.761,-3.3371,0.0,0.0
2.2546,8.0992,-0.24877,-3.2698,0.0,0.0
3.0672,-4.4117,3.8238,-0.81682,0.0,0.0
1.3049,-0.15521,6.4911,-0.75346,0.0,0.0
-1.1193,10.7271,2.0938,-5.6504,0.0,0.0
3.3577,-4.3062,6.0241,0.18274,0.0,0.0
3.7798,-3.3109,2.6491,0.066365,0.0,0.0
-0.048007999999999995,-0.5607800000000001,7.7215,0.45299999999999996,0.0,1.0
0.96441,5.8395,2.3235,0.066365,0.0,0.0
0.54777,10.3754,-1.5435,-4.1633,0.0,0.0
2.0597,-0.99326,5.2119,-0.29312,0.0,0.0
-2.4604,12.7302,0.91738,-7.6418,0.0,0.0
4.2188,6.8162,-1.2804,0.76076,0.0,0.0
2.9856,7.2673,-0.409,-2.2431,0.0,0.0
1.9572,-5.1153,8.6127,-1.4297,0.0,0.0
2.3969,0.23589000000000002,4.8477,1.4369999999999998,0.0,0.0
2.8561,6.9176,-0.79372,0.48403,0.0,0.0
3.4591,11.112,-4.2039,-5.0931,0.0,0.0
-0.39816,5.9781,1.3912,-1.1621,0.0,1.0
-0.7869,9.5663,-3.7867,-7.5034,0.0,0.0
1.4884,3.6274,3.3080000000000003,0.48921000000000003,0.0,0.0
3.8197,8.9951,-4.383,-4.0327,0.0,0.0
2.7961,2.121,1.8385,0.38316999999999996,0.0,0.0
4.2475,1.4816,-0.48355,0.9534299999999999,0.0,0.0
-1.3,10.2678,-2.9530000000000003,-5.8638,0.0,0.0
4.3064,8.2068,-2.7824,-1.4336,0.0,0.0
5.7867,7.8902,-2.6196,-0.48708,0.0,0.0
0.74307,11.17,-1.3824,-4.0728,0.0,0.0
1.1558,6.4003,1.5506,0.6961,0.0,0.0
4.052,-0.16555,0.45383,0.51248,0.0,0.0
3.5152,6.8224,-0.67377,-0.46898,0.0,0.0
1.518,5.6946,0.094818,-0.026737999999999998,0.0,0.0
5.0617,-0.35799000000000003,0.44698000000000004,0.9986799999999999,0.0,0.0
1.5701,7.9129,0.29018,-2.1953,0.0,0.0
3.82,10.9279,-4.0112,-5.0284,0.0,0.0
2.8521,9.171,-3.6461,-1.2047,0.0,0.0
5.1321,-0.031048000000000003,0.32616,1.1151,0.0,0.0
0.5195,-3.2633,3.0895,-0.9849,0.0,0.0
2.6682,10.216000000000001,-3.4414,-4.0069,0.0,0.0
1.2262,0.89599,5.7568,-0.11596,0.0,0.0
-0.048007999999999995,-1.6037,8.4756,0.75558,0.0,1.0
4.3634,0.46351000000000003,1.4281,2.0202,0.0,0.0
0.4339,5.5395,2.033,-0.40431999999999996,0.0,0.0
3.8496,9.7939,-4.1508,-4.4582,0.0,0.0
5.2012,0.32694,0.17965,1.1797,0.0,0.0
2.5817,9.7546,-3.1749,-2.9957,0.0,0.0
4.0680000000000005,-2.9363,2.1992,0.50084,0.0,0.0
0.051979,7.0521,-2.0541,-3.1508,0.0,1.0
